Name,Email,Phone,Organization,Location,Skills
"Verma
Email",priya.verma22@gmail.com,"9123456780
","NLP, SQL, Power BI, Skills
Python, Computer Science, ABC Technologies, XYZ University",,"Python, SQL, Machine Learning, Deep Learning, NLP, AWS, Power BI"
"Machine Learning
",sneha.kapoor.cv@gmail.com,"9234567810
","NLP, SQL, Power BI, Skills
Python, Computer Science, ABC Technologies, XYZ University",,"Python, SQL, Machine Learning, Deep Learning, NLP, AWS, Power BI"
Karan Mehta,karan.mehta.ai@gmail.com,"9090909090
","NLP, SQL, Power BI, Skills
Python, Computer Science, ABC Technologies, XYZ University",,"Python, SQL, Machine Learning, Deep Learning, NLP, AWS, Power BI"
Rahul Malhotra,rahul.malhotra.ds@gmail.com,"9456123780
","NLP, SQL, Power BI, Skills
Python, Computer Science, ABC Technologies, XYZ University",,"Python, SQL, Machine Learning, Deep Learning, NLP, AWS, Power BI"
Rohan Gupta,rohan.gupta.dev@gmail.com,"9988776655
","NLP, SQL, Power BI, Skills
Python, Computer Science, ABC Technologies, XYZ University",,"Python, SQL, Machine Learning, Deep Learning, NLP, AWS, Power BI"
"Neha Singh
Email",neha.singh88@gmail.com,"9012345678
","NLP, SQL, Power BI, Skills
Python, Computer Science, ABC Technologies, XYZ University",,"Python, SQL, Machine Learning, Deep Learning, NLP, AWS, Power BI"
"Ananya Joshi
Email",ananya.joshi11@gmail.com,"9871234567
","NLP, SQL, Power BI, Skills
Python, Computer Science, ABC Technologies, XYZ University",,"Python, SQL, Machine Learning, Deep Learning, NLP, AWS, Power BI"
"Machine Learning
",vivek.kumar.tech@gmail.com,"9765432101
","NLP, SQL, Power BI, Skills
Python, Computer Science, ABC Technologies, XYZ University",,"Python, SQL, Machine Learning, Deep Learning, NLP, AWS, Power BI"
"Machine Learning
",ishita.jain.ml@gmail.com,"9345678901
","NLP, SQL, Power BI, Skills
Python, Computer Science, ABC Technologies, XYZ University",,"Python, SQL, Machine Learning, Deep Learning, NLP, AWS, Power BI"
"Machine Learning
",aarav.sharma91@gmail.com,"9876543210
","NLP, SQL, Power BI, Skills
Python, Computer Science, ABC Technologies, XYZ University",,"Python, SQL, Machine Learning, Deep Learning, NLP, AWS, Power BI"
